지점,지점명,일시,평균기온(°C)
308,옥도,2015-06,20.2
308,옥도,2015-07,23.2
308,옥도,2015-08,24.4
308,옥도,2015-09,21.7
308,옥도,2015-10,18.1
308,옥도,2015-11,13.4
308,옥도,2015-12,8.4
308,옥도,2016-02,5.2
308,옥도,2016-03,7.8
308,옥도,2016-04,13.1
308,옥도,2016-05,17.5
308,옥도,2016-06,20.7
308,옥도,2016-07,24.5
308,옥도,2016-08,26.1
308,옥도,2016-09,22.6
308,옥도,2016-10,18.2
308,옥도,2016-11,11
308,옥도,2016-12,6.9
308,옥도,2017-02,3.5
308,옥도,2017-03,6.6
308,옥도,2017-04,12.9
308,옥도,2017-05,17.1
308,옥도,2017-06,20.2
308,옥도,2017-07,25
308,옥도,2017-08,25.5
308,옥도,2017-09,21.7
308,옥도,2017-10,17.1
308,옥도,2017-11,10.5
308,옥도,2017-12,3.9
308,옥도,2018-02,1.8
308,옥도,2018-03,7.6
308,옥도,2018-04,12.6
308,옥도,2018-05,16.8
308,옥도,2018-06,20.8
308,옥도,2018-07,25.8
308,옥도,2018-08,26.8
308,옥도,2018-09,21.9
308,옥도,2018-10,16.1
308,옥도,2018-12,5.1
308,옥도,2019-01,3.5
308,옥도,2019-02,3.6
308,옥도,2019-03,7.6
308,옥도,2019-04,11.3
308,옥도,2019-05,16.7
308,옥도,2019-06,19.6
308,옥도,2019-07,22.9
308,옥도,2019-08,24.9
308,옥도,2019-09,21.8
308,옥도,2019-10,17.8
308,옥도,2019-11,12.7
308,옥도,2019-12,7.1
310,궁촌,2015-01,2.4
310,궁촌,2015-02,2.8
310,궁촌,2015-03,7.2
310,궁촌,2015-04,11.6
310,궁촌,2015-05,18.1
310,궁촌,2015-06,19.2
310,궁촌,2015-07,22.6
310,궁촌,2015-08,24.3
310,궁촌,2015-09,19.5
310,궁촌,2015-10,15
310,궁촌,2015-11,9.9
310,궁촌,2015-12,4.9
310,궁촌,2016-01,1
310,궁촌,2016-02,2.3
310,궁촌,2016-03,7.3
310,궁촌,2016-04,13
310,궁촌,2016-05,17.3
310,궁촌,2016-06,20.8
310,궁촌,2016-07,23.1
310,궁촌,2016-08,25.1
310,궁촌,2016-09,20.4
310,궁촌,2016-10,15.2
310,궁촌,2016-11,8.9
310,궁촌,2016-12,5.2
310,궁촌,2017-01,2.1
310,궁촌,2017-02,3.8
310,궁촌,2017-03,7
310,궁촌,2017-04,14.3
310,궁촌,2017-05,18.5
310,궁촌,2017-06,19.9
310,궁촌,2017-07,24.9
310,궁촌,2017-08,24
310,궁촌,2017-09,20.2
310,궁촌,2017-10,14.9
310,궁촌,2017-11,8.6
310,궁촌,2017-12,1.8
310,궁촌,2018-01,.1
310,궁촌,2018-02,.7
310,궁촌,2018-03,8.5
310,궁촌,2018-04,13.3
310,궁촌,2018-05,16.5
310,궁촌,2018-06,20.8
310,궁촌,2018-07,25
310,궁촌,2018-08,25.1
310,궁촌,2018-09,19.5
310,궁촌,2018-10,13.6
310,궁촌,2018-11,9.1
310,궁촌,2018-12,3.1
310,궁촌,2019-01,3.1
310,궁촌,2019-02,3.9
310,궁촌,2019-03,8.7
310,궁촌,2019-04,12
310,궁촌,2019-05,18.9
310,궁촌,2019-06,19.6
310,궁촌,2019-07,24.3
310,궁촌,2019-08,25.2
310,궁촌,2019-09,20.7
310,궁촌,2019-10,15.6
310,궁촌,2019-11,9.8
310,궁촌,2019-12,4.9
311,가야산,2015-01,-2.1
311,가야산,2015-02,-1.3
311,가야산,2015-03,3.6
311,가야산,2015-04,9.9
311,가야산,2015-05,15
311,가야산,2015-06,17.1
311,가야산,2015-07,19.9
311,가야산,2015-08,20.3
311,가야산,2015-09,15.5
311,가야산,2015-10,10.9
311,가야산,2015-11,7.4
311,가야산,2015-12,1.1
311,가야산,2016-01,-3.3
311,가야산,2016-02,-1.4
311,가야산,2016-03,4.5
311,가야산,2016-04,10.9
311,가야산,2016-05,14.8
311,가야산,2016-06,17.8
311,가야산,2016-07,21.1
311,가야산,2016-08,21.4
311,가야산,2016-09,17.1
311,가야산,2016-10,12.1
311,가야산,2016-11,5.2
311,가야산,2016-12,.8
311,가야산,2017-01,-2.4
311,가야산,2017-02,-.5
